tijdstip;locatie;component;waarde;LKI
2015-08-12 20:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,70439;1
2015-08-12 21:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,76527;1
2015-08-12 22:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,18287;1
2015-08-12 23:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,74889;1
2015-08-13 00:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,89549;1
2015-08-13 01:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,60784;1
2015-08-13 02:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,38507;1
2015-08-13 03:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,15839;1
2015-08-13 04:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,66426;1
2015-08-13 05:00:00+02:00;Rotterdam-Bentinckplein;PM25;4,4606;1
2015-08-13 06:00:00+02:00;Rotterdam-Bentinckplein;PM25;3,78447;1
2015-08-13 07:00:00+02:00;Rotterdam-Bentinckplein;PM25;9,6931;1
2015-08-13 08:00:00+02:00;Rotterdam-Bentinckplein;PM25;14,5343;2
2015-08-13 09:00:00+02:00;Rotterdam-Bentinckplein;PM25;16,3725;3
2015-08-13 10:00:00+02:00;Rotterdam-Bentinckplein;PM25;13,3877;2
2015-08-13 11:00:00+02:00;Rotterdam-Bentinckplein;PM25;11,868;2
2015-08-13 12:00:00+02:00;Rotterdam-Bentinckplein;PM25;13,4514;2
2015-08-13 13:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,3736;1
2015-08-13 14:00:00+02:00;Rotterdam-Bentinckplein;PM25;9,6476;1
2015-08-13 15:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,06129;1
2015-08-13 16:00:00+02:00;Rotterdam-Bentinckplein;PM25;7,7912;1
2015-08-13 17:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,46351;1
2015-08-13 18:00:00+02:00;Rotterdam-Bentinckplein;PM25;12,1319;2
2015-08-13 19:00:00+02:00;Rotterdam-Bentinckplein;PM25;12,3776;2
2015-08-13 20:00:00+02:00;Rotterdam-Bentinckplein;PM25;6,75653;1
2015-08-13 21:00:00+02:00;Rotterdam-Bentinckplein;PM25;9,6658;1
2015-08-13 22:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,03572;1
2015-08-13 23:00:00+02:00;Rotterdam-Bentinckplein;PM25;0,40928;1
2015-08-14 01:00:00+02:00;Rotterdam-Bentinckplein;PM25;0,58855;1
2015-08-14 05:00:00+02:00;Rotterdam-Bentinckplein;PM25;2,53868;1
2015-08-14 06:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,99577;1
2015-08-14 07:00:00+02:00;Rotterdam-Bentinckplein;PM25;5,78465;1
2015-08-14 08:00:00+02:00;Rotterdam-Bentinckplein;PM25;15,2987;3
2015-08-14 09:00:00+02:00;Rotterdam-Bentinckplein;PM25;8,683;1
